COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family) (GlpF) (PDB:1FQY)	0	1	1	NA	COG0580	"GC_00001108, GC_00001928"	1	1	61	26
"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains"	0	1	1	NA	COG2932	"GC_00000643, GC_00000946"	1	1	61	26
Uncharacterized conserved protein	0	1	1	NA	COG1849	"GC_00000276, GC_00000968, GC_00001221, GC_00002386"	1	1	61	26
Inorganic pyrophosphatase (Ppa) (PDB:117E)	0	1	1	NA	COG0221	GC_00000393	1	1	61	26
"Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB (EnvC)"	0	1	1	NA	COG0463!!!COG4942	"GC_00001164, GC_00001337, GC_00001825, GC_00002316, GC_00003153"	1	1	61	26
Fe-S cluster assembly ATPase SufC (SufC) (PDB:2D3W)	0	1	1	NA	COG0396	GC_00000955	1	1	61	26
Diphthamide synthase (EF-2-diphthine--ammonia ligase) (Dph6) (PDB:2D13)	0	1	1	NA	COG2102	GC_00000702	1	1	61	26
Ribosomal protein L22 (RplV) (PDB:1VS6)	0	1	1	NA	COG0091	GC_00000267	1	1	61	26
Ribosomal protein L37AE/L43A (RPL43A) (PDB:1JJ2)	0	1	1	NA	COG1997	GC_00000255	1	1	61	26
Predicted dehydrogenase (MviM) (PDB:3UUW)	0	1	1	NA	COG0673	GC_00000563	1	1	61	26
Energy-coupling factor transporter ATP-binding protein EcfA2 (EcfA2) (PDB:4HUQ)	0	1	1	NA	COG1122	"GC_00001031, GC_00001032"	1	1	61	26
Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase) (PdxT) (PDB:2NV0) (PUBMED:18801996;24083939)	0	1	1	NA	COG0311	GC_00000879	1	1	61	26
Ribosomal protein L13 (RplM) (PDB:1VS6)	0	1	1	NA	COG0102	GC_00000246	1	1	61	26
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)	0	1	1	NA	COG0365	"GC_00000426, GC_00003372"	1	1	61	26
"Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain (YlmC) (PDB:1PM3)"	0	1	1	NA	COG1873	"GC_00000294, GC_00000578, GC_00000616, GC_00000646"	1	1	61	26
"Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)!!!MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain!!!Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits (DsrA)"	0	1	1	NA	COG1143!!!COG1149!!!COG2221	GC_00001262	1	1	61	26
Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC (NifH/CfbC) (PDB:1CP2) (PUBMED:28225763)	0	1	1	NA	COG1348	GC_00000817	1	1	61	26
Uridylate kinase (PyrH) (PDB:2BND)	0	1	1	NA	COG0528	GC_00000309	1	1	61	26
Phosphatidylserine synthase (PssA)	0	1	1	NA	COG1183	GC_00000669	1	1	61	26
tRNA A37 methylthiotransferase MiaB (MiaB) (PDB:4JC0) (PUBMED:17407324;20472640;20584901)	0	1	1	NA	COG0621	GC_00000988	1	1	61	26
"tRNA G26 N,N-dimethylase Trm1 (TRM1) (PDB:2DUL)"	0	1	1	NA	COG1867	GC_00001263	1	1	61	26
UTP-glucose-1-phosphate uridylyltransferase (GalU) (PDB:2E3D)	0	1	1	NA	COG1210	GC_00001238	1	1	61	26
UDP-N-acetylglucosamine 2-epimerase (WecB) (PDB:1F6D) (PUBMED:26641313;30389844)	0	1	1	NA	COG0381	GC_00001208	1	1	61	26
Carbonic anhydrase (CynT) (PDB:1EKJ) (PUBMED:22081392)	0	1	1	NA	COG0288	GC_00000642	1	1	61	26
UDP-glucose 4-epimerase (GalE) (PDB:1A9Y)	0	1	1	NA	COG1087	"GC_00000161, GC_00001197"	1	1	61	26
Glutaredoxin (GrxC) (PDB:1AAZ)	0	1	1	NA	COG0695	GC_00000785	1	1	61	26
CDP-diglyceride synthetase (CdsA) (PDB:4Q2E)	0	1	1	NA	COG0575	GC_00001033	1	1	61	26
"Trk-type K+ transport system, membrane component (TrkG) (PDB:3PJZ)"	0	1	1	NA	COG0168	GC_00001375	1	1	61	26
"GMP synthase, glutamine amidotransferase domain (GuaA1) (PDB:4WIM)"	0	1	1	NA	COG0518	GC_00000871	1	1	61	26
Orotate phosphoribosyltransferase homolog (PyrE2)	0	1	1	NA	COG0856	GC_00000568	1	1	61	26
Ribosomal protein L32E (Rpl32e)	0	1	1	NA	COG1717	GC_00000342	1	1	61	26
Adenosylcobinamide amidohydrolase (CbiZ) (PUBMED:14990804)	0	1	1	NA	COG1865	GC_00001281	1	1	61	26
Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)	0	1	1	NA	COG1143	"GC_00000298, GC_00000351, GC_00000497"	1	1	61	26
RecA/RadA recombinase (RecA) (PDB:1B22)	0	1	1	NA	COG0468	"GC_00000395, GC_00000538"	1	1	61	26
Surface polysaccharide O-acyltransferase WecH (WecH) (PUBMED:16936038)	0	1	1	NA	COG3274	"GC_00000179, GC_00001156, GC_00001735, GC_00001773, GC_00002083"	1	1	61	26
Predicted glycosyltransferase	0	1	1	NA	COG1817	GC_00000369	1	1	61	26
Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M)	0	1	1	NA	COG0064	GC_00000491	1	1	61	26
Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U)	0	1	1	NA	COG0402	"GC_00000661, GC_00001104"	1	1	61	26
"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit (PorA) (PDB:5C4I)"	0	1	1	NA	COG0674	"GC_00000382, GC_00000520, GC_00000782"	1	1	61	26
Diphthamide biosynthesis methyltransferase (DPH5) (PDB:2EGL)	0	1	1	NA	COG1798	GC_00000192	1	1	61	26
Ribosomal protein S3AE (RPS3A) (PDB:4CUY)	0	1	1	NA	COG1890	GC_00000402	1	1	61	26
Ribosomal protein L30/L7E (RpmD) (PDB:1VS6)	0	1	1	NA	COG1841	GC_00000341	1	1	61	26
Endonuclease III (Nth) (PDB:4UOB)	0	1	1	NA	COG0177	GC_00000690	1	1	61	26
Ribosomal protein S15P/S13E (RpsO) (PDB:4V4H)	0	1	1	NA	COG0184	GC_00000259	1	1	61	26
"Hydrogenase maturation factor HybG, HypC/HupF family (HypC) (PDB:2OT2)"	0	1	1	NA	COG0298	GC_00000260	1	1	61	26
tRNA (Thr-GGU) A37 N6-methylase (TrmO) (PDB:1XQB) (PUBMED:22905870)	0	1	1	NA	COG1720	GC_00001050	1	1	61	26
"Fe-S cluster assembly scaffold protein IscU, NifU family (IscU) (PDB:1Q48)"	0	1	1	NA	COG0822	GC_00000961	1	1	61	26
"Uncharacterized conserved protein, DUF356 domain"	0	1	1	NA	COG1844	GC_00000323	1	1	61	26
"Uncharacterized conserved protein, DUF2117 domain"	0	1	1	NA	COG4069	GC_00001300	1	1	61	26
Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase) (CobS) (PUBMED:31481610)	0	1	1	NA	COG0368	GC_00001061	1	1	61	26
"Coenzyme F420-reducing hydrogenase, alpha subunit (FrhA) (PDB:3ZFS)"	0	1	1	NA	COG3259	"GC_00000095, GC_00000902"	1	1	61	26
Nucleoside diphosphate kinase (Ndk) (PDB:1B4S)	0	1	1	NA	COG0105	GC_00000286	1	1	61	26
"Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains (aMBF1) (PDB:2MEZ) (PUBMED:24825021)"	0	1	1	NA	COG1813	GC_00000417	1	1	61	26
"Pheromone shutdown protein TraB, contains GTxH motif (function unknown)"	0	1	1	NA	COG1916	GC_00000916	1	1	61	26
"tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Pcc1 subunit (Pcc1) (PDB:3ENC)"	0	1	1	NA	COG2892	GC_00000381	1	1	61	26
Chaperonin GroEL (HSP60 family) (GroEL) (PDB:1AON)	0	1	1	NA	COG0459	"GC_00000352, GC_00000353"	1	1	61	26
Uroporphyrinogen-III methylase (siroheme synthase) (CysG) (PDB:1PJQ)	0	1	1	NA	COG0007	GC_00000529	1	1	61	26
"Uncharacterized conserved protein, DUF366 domain (PDB:2DDZ)"	0	1	1	NA	COG2029	GC_00001085	1	1	61	26
Formylmethanofuran dehydrogenase subunit B (FwdB) (PDB:5T5I)	0	1	1	NA	COG1029	GC_00000295	1	1	61	26
Energy-converting hydrogenase Eha subunit G (EhaG) (PUBMED:19495416)	0	1	1	NA	COG4036	GC_00000418	1	1	61	26
"Desulfoferrodoxin, superoxide reductase-like (SORL) domain (SORL) (PDB:1DFX)"	0	1	1	NA	COG2033	GC_00000659	1	1	61	26
Predicted molibdopterin-dependent oxidoreductase YjgC (YjgC) (PDB:1AA6)	0	1	1	NA	COG3383	"GC_00000749, GC_00001779"	1	1	61	26
Predicted dinucleotide-binding enzyme (PDB:2VNS)	0	1	1	NA	COG2085	"GC_00000558, GC_00003581"	1	1	61	26
N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3)	0	1	1	NA	COG0002	"GC_00001332, GC_00003756"	1	1	61	26
Threonine synthase (ThrC) (PDB:1VB3)	0	1	1	NA	COG0498	GC_00000516	1	1	61	26
AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	0	1	1	NA	COG2207	GC_00001381	1	1	61	26
"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains (GlmS) (PDB:2J6H)"	0	1	1	NA	COG0449	GC_00000816	1	1	61	26
"DNA-directed RNA polymerase, subunit N (RpoN/RPB10) (RPB10) (PDB:1EF4)"	0	1	1	NA	COG1644	GC_00000252	1	1	61	26
Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	0	1	1	NA	COG0111	GC_00000610	1	1	61	26
"Archease, activates RNA ligation by RtcB (tRNA splicing) (ARCH) (PDB:1J5U) (PUBMED:24435797)"	0	1	1	NA	COG1371	GC_00000956	1	1	61	26
"Cobalamin biosynthesis protein CobN, Mg-chelatase (CobN) (PDB:4ZHJ)"	0	1	1	NA	COG1429	"GC_00001410, GC_00001661, GC_00003401"	1	1	61	26
Metal-sulfur cluster biosynthetic enzyme (PaaD) (PDB:1UWD)	0	1	1	NA	COG2151	GC_00000415	1	1	61	26
Glycerol-3-phosphate dehydrogenase (GpsA) (PDB:1EVY)	0	1	1	NA	COG0240	"GC_00000147, GC_00001525"	1	1	61	26
"ABC-type transport system involved in lipoprotein release, permease component LolC (LolE) (PDB:6F49)"	0	1	1	NA	COG4591	"GC_00001415, GC_00003380, GC_00003720"	1	1	61	26
Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (ThiD) (PDB:1Y9X) (PUBMED:17351295)	0	1	1	NA	COG0351	GC_00000959	1	1	61	26
"CDP-glycerol glycerophosphotransferase, TagB/SpsB family (TagB)"	0	1	1	NA	COG1887	GC_00001107	1	1	61	26
DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)	0	1	1	NA	COG0419	"GC_00000165, GC_00002105, GC_00002557, GC_00002567, GC_00004055, GC_00004071"	1	1	61	26
"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)"	0	1	1	NA	COG0480	"GC_00000519, GC_00003376"	1	1	61	26
"HD superfamily phosphodieaserase, includes HD domain of RNase Y (RnaY) (PDB:3DTO) (PUBMED:19779461)"	0	1	1	NA	COG1418	GC_00000625	1	1	61	26
Translation initiation factor IF-1 (InfA) (PDB:5FIM)	0	1	1	NA	COG0361	GC_00000546	1	1	61	26
F420-0:Gamma-glutamyl ligase (F420 biosynthesis) (CofE) (PDB:2G9I)	0	1	1	NA	COG1478	GC_00000620	1	1	61	26
3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049)	0	1	1	NA	COG0084	"GC_00001133, GC_00001239"	1	1	61	26
"Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)!!!Spore maturation protein CgeB"	0	1	1	NA	COG1216!!!COG4641	"GC_00001268, GC_00001405"	1	1	61	26
Ribosome biogenesis protein Tsr3 (rRNA maturation) (Tsr3) (PDB:5AP8) (PUBMED:24417346)	0	1	1	NA	COG2042	GC_00000303	1	1	61	26
"Ribonuclease BN, tRNA processing enzyme (ElaC) (PDB:1WW1)"	0	1	1	NA	COG1234	GC_00000825	1	1	61	26
Translation elongation factor EF-1alpha (GTPase) (TEF1) (PDB:1F60)	0	1	1	NA	COG5256	GC_00000657	1	1	61	26
Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases (Cof) (PDB:1YMQ)	0	1	1	NA	COG0561	"GC_00000987, GC_00003470, GC_00003877"	1	1	61	26
"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)"	0	1	1	NA	COG0583	"GC_00000882, GC_00003465, GC_00003543, GC_00003664, GC_00004199"	1	1	61	26
"Heterodisulfide reductase, subunit A (polyferredoxin) (HdrA) (PDB:5ODC)!!!Coenzyme F420-reducing hydrogenase, delta subunit (FrhD) (PDB:5ODC)"	0	1	1	NA	COG1148!!!COG1908	GC_00001011	1	1	61	26
Acyl-CoA synthetase (NDP forming) (PatZN) (PDB:4YAK) (PUBMED:26251518)	0	1	1	NA	COG1042	GC_00001049	1	1	61	26
"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain (PurL1) (PDB:3VIU)"	0	1	1	NA	COG0046	GC_00001291	1	1	61	26
"Coenzyme F420-reducing hydrogenase, gamma subunit (FrhG) (PDB:5ODC)"	0	1	1	NA	COG1941	"GC_00000406, GC_00000830"	1	1	61	26
Glutamate synthase domain 2 (GltB2) (PDB:1EA0)!!!Flavorubredoxin (NorV) (PDB:4D02)	0	1	1	NA	COG0069!!!COG1773	GC_00000208	1	1	61	26
Orotate phosphoribosyltransferase (PyrE) (PDB:4WML)	0	1	1	NA	COG0461	GC_00000927	1	1	61	26
Energy-converting hydrogenase Eha subunit E (EhaE) (PUBMED:19495416)	0	1	1	NA	COG4038	GC_00000261	1	1	61	26
Ferritin (FtnA) (PDB:1AEW) (PUBMED:24380371)	0	1	1	NA	COG1528	GC_00000552	1	1	61	26
"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (PhnP) (PDB:6B9V)"	0	1	1	NA	COG1235	"GC_00001169, GC_00003417"	1	1	61	26
Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)	0	1	1	NA	COG0183	"GC_00000436, GC_00003304"	1	1	61	26
"Exosome complex RNA-binding protein Rrp42, RNase PH superfamily (Rrp42) (PDB:4IFD) (PUBMED:23319881)"	0	1	1	NA	COG2123	GC_00000764	1	1	61	26
Uracil phosphoribosyltransferase (Upp) (PDB:2EHJ)	0	1	1	NA	COG0035	GC_00000727	1	1	61	26
Ribosomal protein L24E (RPL24A)	0	1	1	NA	COG2075	GC_00000248	1	1	61	26
"DNA polymerase III, gamma/tau subunits (DnaX) (PDB:1A5T)"	0	1	1	NA	COG2812	GC_00001382	1	1	61	26
Molybdopterin biosynthesis enzyme MoaB/MogA (MoaB) (PDB:1DI6) (PUBMED:32239579)	0	1	1	NA	COG0521	GC_00000345	1	1	61	26
"Uncharacterized protein MTH814, DUF2098 family"	0	1	1	NA	COG4014	GC_00000542	1	1	61	26
Chorismate synthase (AroC) (PDB:1Q1L)	0	1	1	NA	COG0082	GC_00001301	1	1	61	26
Predicted RNA methylase (PDB:6H2U)	0	1	1	NA	COG2263	GC_00001341	1	1	61	26
Anaerobic ribonucleoside-triphosphate reductase (NrdD) (PDB:4COI)	0	1	1	NA	COG1328	GC_00000685	1	1	61	26
Dephospho-CoA kinase (CoaE) (PDB:1JJV)	0	1	1	NA	COG0237	GC_00000733	1	1	61	26
"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)"	0	1	1	NA	COG0834	GC_00000532	1	1	61	26
"Predicted transcriptional regulator, contains XRE-type HTH domain (AF0184)"	0	1	1	NA	COG2522	GC_00000736	1	1	61	26
"3,4-dihydroxy-2-butanone 4-phosphate synthase (RibB) (PDB:1G57)"	0	1	1	NA	COG0108	GC_00000517	1	1	61	26
"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)"	0	1	1	NA	COG0600	"GC_00000784, GC_00003605"	1	1	61	26
Phenylalanyl-tRNA synthetase beta subunit (PheT) (PDB:3L4G)	0	1	1	NA	COG0072	GC_00001386	1	1	61	26
General stress protein 26 (function unknown) (YzzA) (PDB:2I02)	0	1	1	NA	COG3871	GC_00000674	1	1	61	26
Phosphatidylglycerophosphate synthase (PgsA) (PDB:4MND)	0	1	1	NA	COG0558	"GC_00001048, GC_00001182, GC_00001770"	1	1	61	26
23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ (RlmE) (PDB:1EIZ) (PUBMED:10769117)	0	1	1	NA	COG0293	GC_00000567	1	1	61	26
"Archaeal YidC/Oxa1-related membrane protein, DUF106 family (YidC) (PDB:5C8J)"	0	1	1	NA	COG1422	GC_00000237	1	1	61	26
Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit (GatC) (PDB:3H0L)	0	1	1	NA	COG0721	GC_00000459	1	1	61	26
3-dehydroquinate dehydratase (AroD) (PDB:1GQN)	0	1	1	NA	COG0710	GC_00000551	1	1	61	26
Fibrillarin-like rRNA 2'-O-methylase NOP1 (NOP1) (PDB:1NT2)	0	1	1	NA	COG1889	GC_00000864	1	1	61	26
Nitroreductase (NfnB) (PDB:1F5V)	0	1	1	NA	COG0778	"GC_00000111, GC_00000839, GC_00001006, GC_00001453"	1	1	61	26
"3-dehydroquinate synthase, class II (AroB2)"	0	1	1	NA	COG1465	GC_00000708	1	1	61	26
"tRNA U38,U39,U40 pseudouridine synthase TruA (TruA) (PDB:1DJ0)"	0	1	1	NA	COG0101	GC_00000930	1	1	61	26
Uncharacterized conserved protein MJ1451	0	1	1	NA	COG4065	GC_00001044	1	1	61	26
Ribosomal protein S27E (RPS27A) (PDB:1QXF)	0	1	1	NA	COG2051	GC_00000245	1	1	61	26
"Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain (NikR) (PDB:1Q5V)"	0	1	1	NA	COG0864	GC_00000721	1	1	61	26
Precorrin-6B methylase 1 (CobL)	0	1	1	NA	COG2241	GC_00000668	1	1	61	26
"Aspartate carbamoyltransferase, catalytic subunit (PyrB) (PDB:1NBE)"	0	1	1	NA	COG0540	GC_00000958	1	1	61	26
7-cyano-7-deazaguanine synthase (queuosine biosynthesis) (QueC) (PDB:2PG3) (PUBMED:14660578;17384645)	0	1	1	NA	COG0603	"GC_00001248, GC_00003946"	1	1	61	26
"Transcription antitermination factor NusA, contains S1 and KH domains (NusA) (PDB:1HH2)"	0	1	1	NA	COG0195	GC_00000263	1	1	61	26
Archaeal/vacuolar-type H+-ATPase subunit C/Vma6 (NtpC) (PDB:1R5Z)	0	1	1	NA	COG1527	GC_00000278	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit B (MtrB)"	0	1	1	NA	COG4062	GC_00000638	1	1	61	26
Uncharacterized conserved protein MJ0501	0	1	1	NA	COG4073	GC_00001042	1	1	61	26
DnaJ-class molecular chaperone with C-terminal Zn finger domain (DnaJ) (PDB:1BQ0)	0	1	1	NA	COG0484	GC_00000480	1	1	61	26
"DNA-directed RNA polymerase, subunit K/omega (RpoZ) (PDB:3LU0)"	0	1	1	NA	COG1758	GC_00000224	1	1	61	26
Glutamate dehydrogenase/leucine dehydrogenase (GdhA) (PDB:1B3B) (PUBMED:24391520)	0	1	1	NA	COG0334	GC_00000962	1	1	61	26
Glutamate N-acetyltransferase (ornithine transacetylase) (ArgJ) (PDB:1VRA)	0	1	1	NA	COG1364	GC_00000872	1	1	61	26
tRNA U54 and U55 pseudouridine synthase Pus10 (Pus10)	0	1	1	NA	COG1258	GC_00001068	1	1	61	26
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D (AnsA) (PDB:1ZQ1)	0	1	1	NA	COG0252	GC_00001173	1	1	61	26
"Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)"	0	1	1	NA	COG4770	GC_00000673	1	1	61	26
UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase (MurG) (PDB:1F0K)	0	1	1	NA	COG0707	"GC_00001140, GC_00004165"	1	1	61	26
"Uncharacterized conserved protein AF1278, contains saccharopine dehydrogenase N-terminal (SDHN) domain (PDB:3C2Q)"	0	1	1	NA	COG1915	GC_00000282	1	1	61	26
"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)"	0	1	1	NA	COG0589	"GC_00000435, GC_00000783, GC_00001446, GC_00003387"	1	1	61	26
Phosphatidylglycerophosphatase A (PgpA) (PDB:1RFZ)	0	1	1	NA	COG1267	"GC_00000743, GC_00004140"	1	1	61	26
Seryl-tRNA synthetase (SerS) (PDB:1SER)	0	1	1	NA	COG0172	GC_00000574	1	1	61	26
Fe-S-cluster-containing hydrogenase component 2 (HycB)	0	1	1	NA	COG1142	GC_00000123	1	1	61	26
Archaeal flavoprotein (AfpA) (PDB:3WIS)	0	1	1	NA	COG1036	GC_00000465	1	1	61	26
Precorrin-6B methylase 2 (CobL) (PDB:1F38)	0	1	1	NA	COG2242	GC_00000796	1	1	61	26
Dihydroxyacid dehydratase/phosphogluconate dehydratase (IlvD) (PDB:2GP4)	0	1	1	NA	COG0129	"GC_00001247, GC_00004015"	1	1	61	26
Uroporphyrinogen-III decarboxylase HemE (HemE) (PDB:2DG5)	0	1	1	NA	COG0407	"GC_00001103, GC_00003516"	1	1	61	26
PHP family phosphoesterase with a Zn ribbon (YqxK) (PDB:5ZB8)	0	1	1	NA	COG1379	GC_00001349	1	1	61	26
Triphosphoribosyl-dephospho-CoA synthetase (CitG) (PDB:3H9P)	0	1	1	NA	COG1767	GC_00001146	1	1	61	26
Histidyl-tRNA synthetase (HisS) (PDB:1KMM)	0	1	1	NA	COG0124	GC_00000010	1	1	61	26
Archaeal riboflavin synthase (RibC2) (PDB:5IM5)	0	1	1	NA	COG1731	GC_00000424	1	1	61	26
"Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family (CofD) (PDB:1ZX8) (PUBMED:11888293;18252724)"	0	1	1	NA	COG0391	GC_00001036	1	1	61	26
Tryptophanyl-tRNA synthetase (TrpS) (PDB:3N9I)	0	1	1	NA	COG0180	GC_00001211	1	1	61	26
ACT domain-containing protein (ACTx2)	0	1	1	NA	COG4747	"GC_00000621, GC_00001028"	1	1	61	26
6-pyruvoyl-tetrahydropterin synthase (QueD) (PDB:1B66) (PUBMED:14660578;17384645)	0	1	1	NA	COG0720	GC_00000966	1	1	61	26
"Archaeal fructose 1,6-bisphosphatase (FbpA) (PDB:1UMG)"	0	1	1	NA	COG1980	GC_00000887	1	1	61	26
Gamma-glutamyl ligase family protein MJ1361 (PDB:2PHN) (PUBMED:17669425;12911320)	0	1	1	NA	COG4071	GC_00001276	1	1	61	26
"Heterodisulfide reductase, subunit A (polyferredoxin) (HdrA) (PDB:5ODC)"	0	1	1	NA	COG1148	GC_00000915	1	1	61	26
"Uncharacterized conserved protein related to methyl-CoM reductase subunit C, methanogenesis marker protein 7"	0	1	1	NA	COG4052	GC_00000591	1	1	61	26
Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)	0	1	1	NA	COG1196	"GC_00000062, GC_00003349"	1	1	61	26
CTP:molybdopterin cytidylyltransferase MocA (MocA) (PDB:2WAW)	0	1	1	NA	COG2068	GC_00000894	1	1	61	26
2-iminoacetate synthase ThiH/Menaquinone biosynthesis enzymes MqnC and MqnE (ThiH) (PDB:4WCX) (PUBMED:18801996)	0	1	1	NA	COG1060	"GC_00000989, GC_00001216"	1	1	61	26
"Sugar or nucleoside kinase, ribokinase family (RbsK) (PDB:2QCV)"	0	1	1	NA	COG0524	"GC_00000957, GC_00001241, GC_00001283"	1	1	61	26
"Cyclophilin family protein MJ1412, methanogenesis marker protein 3 (MJ1412)"	0	1	1	NA	COG4070	GC_00001124	1	1	61	26
"Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family (NCS2) (PUBMED:24169576;24214977)"	0	1	1	NA	COG2252	GC_00000890	1	1	61	26
Uncharacterized conserved protein MJ0453 (PDB:1Z9V)	0	1	1	NA	COG4033	GC_00000592	1	1	61	26
Molecular chaperone DnaK (HSP70) (DnaK) (PDB:3I33)	0	1	1	NA	COG0443	GC_00000898	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit H (MtrH)"	0	1	1	NA	COG1962	GC_00000008	1	1	61	26
"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)"	0	1	1	NA	COG1011	"GC_00000470, GC_00004005"	1	1	61	26
Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L)	0	1	1	NA	COG0620	GC_00000907	1	1	61	26
"Uncharacterized conserved protein MJ0802, methanogenesis marker protein 17, contains DUF2113 domain"	0	1	1	NA	COG4051	GC_00000386	1	1	61	26
"ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain (YprA)!!!Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction (CpoB) (PDB:2WZ7) (PUBMED:25951518)"	0	1	1	NA	COG1205!!!COG1729	GC_00001396	1	1	61	26
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (LpxD) (PDB:6P83)	0	1	1	NA	COG1044	GC_00000550	1	1	61	26
"Hydroxyethylthiazole kinase, sugar kinase family (ThiM) (PDB:1C3Q)"	0	1	1	NA	COG2145	GC_00001290	1	1	61	26
"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase (HemB) (PDB:1I8J)"	0	1	1	NA	COG0113	GC_00000601	1	1	61	26
"Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family (NifS) (PDB:4IXO) (PUBMED:22773787;25825430)"	0	1	1	NA	COG1104	GC_00001270	1	1	61	26
"Predicted DNA-binding protein MJ1475, contains C-terminal HTH domain (MJ1475)"	0	1	1	NA	COG1710	GC_00001200	1	1	61	26
ECF-type transporter transmembrane protein EcfT (EcfT) (PDB:4HZU)	0	1	1	NA	COG0619	"GC_00000824, GC_00001157, GC_00001307"	1	1	61	26
N-acetylglutamate kinase (ArgB) (PDB:3S6G)	0	1	1	NA	COG0548	GC_00000629	1	1	61	26
"Formate/nitrite transporter FocA, FNT family (FocA) (PDB:3KCU)"	0	1	1	NA	COG2116	GC_00000154	1	1	61	26
"Multisubunit Na+/H+ antiporter, MnhC subunit (MnhC) (PDB:6CFW)"	0	1	1	NA	COG1006	GC_00000697	1	1	61	26
"Ni,Fe-hydrogenase maturation factor (HyaD) (PDB:1CFZ) (PUBMED:15294295)"	0	1	1	NA	COG0680	"GC_00000348, GC_00001222"	1	1	61	26
DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)	0	1	1	NA	COG0350	GC_00001308	1	1	61	26
